#separator:tab
#html:false
#notetype:Basic
#deck:Mandarin Taiwan
#columns:Hanzi	Pinyin	Indonesian	English	Taiwan Note	Tags
鑰匙	yàoshi	kunci	key		scenario::Tempat_Tinggal register::casual
壞掉了	huài diào le	rusak	broken		scenario::Tempat_Tinggal register::casual
冷氣	lěngqì	AC	air conditioning	冷氣 is standard in Taiwan; mainland says 空調	scenario::Tempat_Tinggal register::casual taiwan
熱水器	rèshuǐqì	water heater	water heater		scenario::Tempat_Tinggal register::casual
洗衣機	xǐyījī	mesin cuci	washing machine		scenario::Tempat_Tinggal register::casual
垃圾	lèsè	sampah	garbage / trash	In Taiwan, garbage trucks play music; you must bring trash to the truck	scenario::Tempat_Tinggal register::casual taiwan
垃圾車	lèsè chē	truk sampah	garbage truck	Iconic Taiwan institution — plays Beethoven\	scenario::Tempat_Tinggal register::casual taiwan
上班	shàngbān	masuk kerja / berangkat kerja	to go to work		scenario::Kerja_&_Belajar register::casual
下班	xiàbān	pulang kerja / selesai kerja	to get off work		scenario::Kerja_&_Belajar register::casual
加班	jiābān	lembur	overtime		scenario::Kerja_&_Belajar register::casual
請假	qǐng jià	minta izin / cuti	to request leave		scenario::Kerja_&_Belajar register::casual
會議	huìyì	rapat / meeting	meeting		scenario::Kerja_&_Belajar register::formal
開會	kāihuì	rapat / mengadakan rapat	to have a meeting		scenario::Kerja_&_Belajar register::casual
截止日期	jiézhǐ rìqī	deadline	deadline		scenario::Kerja_&_Belajar register::formal
報告	bàogào	laporan / presentasi	report / presentation		scenario::Kerja_&_Belajar register::formal
客戶	kèhù	klien / nasabah	client / customer		scenario::Kerja_&_Belajar register::formal
同事	tóngshì	rekan kerja	colleague		scenario::Kerja_&_Belajar register::casual
老闆	lǎobǎn	bos / atasan	boss		scenario::Kerja_&_Belajar register::casual
主管	zhǔguǎn	supervisor / manager	supervisor / manager		scenario::Kerja_&_Belajar register::formal
薪水	xīnshuǐ	gaji	salary		scenario::Kerja_&_Belajar register::casual
我不太清楚	wǒ bú tài qīngchǔ	saya kurang paham	I\		scenario::Kerja_&_Belajar register::casual
請問可以幫我⋯⋯嗎？	qǐng wèn kěyǐ bāng wǒ... ma?	permisi, bisa bantu saya ...?	could you help me ...?		scenario::Kerja_&_Belajar register::casual
麻煩你了	máfan nǐ le	merepotkan kamu / terima kasih atas bantuannya	sorry to trouble you / thanks		scenario::Kerja_&_Belajar register::casual
辛苦了	xīnkǔ le	terima kasih sudah kerja keras	you\	Said to acknowledge someone\	scenario::Kerja_&_Belajar register::casual taiwan
做得很好	zuò de hěn hǎo	kerjamu bagus sekali	well done		scenario::Kerja_&_Belajar register::casual
我趕時間	wǒ gǎn shíjiān	saya terburu-buru	I\		scenario::Kerja_&_Belajar register::casual
先這樣	xiān zhèyàng	segini dulu / cukup dulu	that\	Common way to end a conversation or meeting informally	scenario::Kerja_&_Belajar register::casual taiwan
學校	xuéxiào	sekolah	school		scenario::Kerja_&_Belajar register::casual
大學	dàxué	universitas	university		scenario::Kerja_&_Belajar register::casual
語言學校	yǔyán xuéxiào	sekolah bahasa	language school		scenario::Kerja_&_Belajar register::casual
作業	zuòyè	PR / tugas	homework / assignment		scenario::Kerja_&_Belajar register::casual
考試	kǎoshì	ujian	exam		scenario::Kerja_&_Belajar register::casual
我聽不懂	wǒ tīng bù dǒng	saya tidak mengerti (yang didengar)	I don\		scenario::Kerja_&_Belajar register::casual
可以再說一次嗎？	kěyǐ zài shuō yīcì ma?	bisa ulangi sekali lagi?	can you say that again?		scenario::Kerja_&_Belajar register::casual
請說慢一點	qǐng shuō màn yīdiǎn	tolong bicara lebih pelan	please speak slower		scenario::Kerja_&_Belajar register::casual
頭痛	tóutòng	sakit kepala	headache		scenario::Kesehatan register::casual
肚子痛	dùzi tòng	sakit perut	stomachache		scenario::Kesehatan register::casual
喉嚨痛	hóulóng tòng	sakit tenggorokan	sore throat		scenario::Kesehatan register::casual
發燒	fāshāo	demam	fever		scenario::Kesehatan register::casual
流鼻水	liú bíshuǐ	pilek / meler	runny nose		scenario::Kesehatan register::casual
咳嗽	késòu	batuk	cough		scenario::Kesehatan register::casual
感冒	gǎnmào	flu / pilek	cold / flu		scenario::Kesehatan register::casual
過敏	guòmǐn	alergi	allergy		scenario::Kesehatan register::casual
噁心	ěxīn	mual	nausea		scenario::Kesehatan register::casual
拉肚子	lā dùzi	diare / mencret	diarrhea		scenario::Kesehatan register::casual
我不舒服	wǒ bù shūfú	saya tidak enak badan	I feel unwell		scenario::Kesehatan register::casual
很嚴重嗎？	hěn yánzhòng ma?	serius / parah?	is it serious?		scenario::Kesehatan register::casual
診所	zhěnsuǒ	klinik	clinic	Small private clinics are everywhere in Taiwan; cheaper than hospitals for minor illness	scenario::Kesehatan register::casual taiwan
醫院	yīyuàn	rumah sakit	hospital		scenario::Kesehatan register::casual
藥局	yàojú	apotek	pharmacy		scenario::Kesehatan register::casual
看醫生	kàn yīshēng	periksa ke dokter	see a doctor		scenario::Kesehatan register::casual
掛號	guàhào	daftar / registrasi (di klinik)	register at clinic	In Taiwan clinics you must 掛號 (register) first; often done online via app	scenario::Kesehatan register::casual taiwan
健保卡	jiànbǎo kǎ	kartu asuransi kesehatan	National Health Insurance card	Taiwan NHI card — essential for clinic visits; covers most treatments cheaply	scenario::Kesehatan register::casual taiwan
藥	yào	obat	medicine		scenario::Kesehatan register::casual
止痛藥	zhǐtòng yào	obat pereda nyeri	painkiller		scenario::Kesehatan register::casual
退燒藥	tuìshāo yào	obat penurun demam	fever reducer		scenario::Kesehatan register::casual
一天幾次？	yītiān jǐ cì?	sehari berapa kali?	how many times a day?		scenario::Kesehatan register::casual
飯前	fàn qián	sebelum makan	before meals		scenario::Kesehatan register::casual
飯後	fàn hòu	setelah makan	after meals		scenario::Kesehatan register::casual
多休息	duō xiūxi	banyak istirahat	get plenty of rest		scenario::Kesehatan register::casual
多喝水	duō hē shuǐ	banyak minum air	drink plenty of water		scenario::Kesehatan register::casual
錢	qián	uang	money		scenario::Uang_&_Bank register::casual
台幣	Táibì	Dolar Taiwan (TWD)	New Taiwan Dollar		scenario::Uang_&_Bank register::casual
銀行	yínháng	bank	bank		scenario::Uang_&_Bank register::casual
提款機	tíkuǎnjī	ATM	ATM	Also called 自動提款機 (zìdòng tíkuǎnjī)	scenario::Uang_&_Bank register::casual taiwan
存款	cúnkuǎn	menabung / setoran	deposit / savings		scenario::Uang_&_Bank register::casual
提款	tíkuǎn	tarik tunai	withdraw cash		scenario::Uang_&_Bank register::casual
轉帳	zhuǎnzhàng	transfer uang	bank transfer		scenario::Uang_&_Bank register::casual
匯款	huìkuǎn	kirim uang / remittance	remittance / send money		scenario::Uang_&_Bank register::casual
帳戶	zhànghù	rekening bank	bank account		scenario::Uang_&_Bank register::casual
帳號	zhànghào	nomor rekening	account number		scenario::Uang_&_Bank register::casual
手續費	shǒuxù fèi	biaya administrasi	transaction / processing fee		scenario::Uang_&_Bank register::casual
匯率	huìlǜ	nilai tukar	exchange rate		scenario::Uang_&_Bank register::casual
換錢	huàn qián	tukar uang	change money / exchange currency		scenario::Uang_&_Bank register::casual
密碼	mìmǎ	PIN / kata sandi	PIN / password		scenario::Uang_&_Bank register::casual
餘額	yú\	saldo	balance		scenario::Uang_&_Bank register::casual
一起付	yīqǐ fù	bayar bareng	pay together		scenario::Uang_&_Bank register::casual
各付各的	gè fù gè de	bayar masing-masing / dutch	split the bill / go Dutch		scenario::Uang_&_Bank register::casual
我請客	wǒ qǐng kè	saya yang traktir	it\		scenario::Uang_&_Bank register::casual
你上次請，這次我來	nǐ shàng cì qǐng, zhè cì wǒ lái	kemarin kamu yang traktir, kali ini giliran saya	you treated last time, this time it\		scenario::Uang_&_Bank register::casual
可以掃碼付款嗎？	kěyǐ sǎo mǎ fùkuǎn ma?	bisa bayar scan QR code?	can I pay by QR code scan?	LINE Pay and 街口支付 (Jkopay) are common QR payment apps in Taiwan	scenario::Uang_&_Bank register::casual taiwan
街口支付	Jiēkǒu Zhīfù	Jkopay	Jkopay (payment app)	Taiwan-specific QR payment app, very popular	scenario::Uang_&_Bank register::casual taiwan
打電話	dǎ diànhuà	telepon / menelepon	to make a phone call		scenario::Telepon_&_Digital register::casual
接電話	jiē diànhuà	angkat telepon	to answer the phone		scenario::Telepon_&_Digital register::casual
掛電話	guà diànhuà	tutup telepon	to hang up		scenario::Telepon_&_Digital register::casual
喂	wèi	halo (di telepon)	hello (on phone)	Always used when answering phone calls in Taiwan	scenario::Telepon_&_Digital register::casual taiwan
你現在方便說話嗎？	nǐ xiànzài fāngbiàn shuōhuà ma?	apakah sekarang kamu bisa bicara?	is it a good time to talk?		scenario::Telepon_&_Digital register::casual
我等一下回你	wǒ děng yīxià huí nǐ	saya hubungi kamu nanti	I\		scenario::Telepon_&_Digital register::casual
訊號不好	xùnhào bù hǎo	sinyal jelek	bad signal		scenario::Telepon_&_Digital register::casual
聽不清楚	tīng bù qīngchǔ	tidak terdengar jelas	can\		scenario::Telepon_&_Digital register::casual
LINE	LINE	LINE (aplikasi chat)	LINE (messaging app)	Dominant messaging app in Taiwan, used for everything	scenario::Telepon_&_Digital register::casual taiwan
傳訊息	chuán xùnxī	kirim pesan	to send a message		scenario::Telepon_&_Digital register::casual
已讀	yǐ dú	sudah dibaca (centang biru)	read (message status)	已讀不回 (already read, no reply) is a very Taiwanese concept / complaint	scenario::Telepon_&_Digital register::casual taiwan
已讀不回	yǐ dú bù huí	dibaca tapi tidak dibalas (ghosting)	read and ignored / left on read		scenario::Telepon_&_Digital register::casual tag::Taiwan
貼圖	tiē tú	stiker (di LINE)	LINE sticker	LINE stickers are huge in Taiwan culture	scenario::Telepon_&_Digital register::casual taiwan
群組	qúnzǔ	grup chat	group chat		scenario::Telepon_&_Digital register::casual
語音訊息	yǔyīn xùnxī	pesan suara	voice message		scenario::Telepon_&_Digital register::casual
視訊通話	shìxùn tōnghuà	video call	video call		scenario::Telepon_&_Digital register::casual
哈哈	hāhā	haha	haha (laugh)		scenario::Telepon_&_Digital register::casual
好喔	hǎo o	oke deh	okay then / sure		scenario::Telepon_&_Digital register::casual tag::Taiwan
了解	liǎojiě	mengerti / siap	understood / got it		scenario::Telepon_&_Digital register::casual
收到	shōu dào	diterima / siap	received / roger		scenario::Telepon_&_Digital register::casual
等我一下	děng wǒ yīxià	tunggu sebentar	wait for me a sec		scenario::Telepon_&_Digital register::casual
在嗎？	zài ma?	ada di sana?	are you there?		scenario::Telepon_&_Digital register::casual
我到了	wǒ dào le	saya sudah sampai	I\		scenario::Telepon_&_Digital register::casual
快到了	kuài dào le	sebentar lagi sampai	almost there		scenario::Telepon_&_Digital register::casual
晚點說	wǎn diǎn shuō	nanti bicara lagi	talk later		scenario::Telepon_&_Digital register::casual
掰掰	bāibāi	bye bye / dadah	bye bye	From English 	scenario::Telepon_&_Digital register::casual taiwan
救命！	jiùmìng!	tolong! / minta bantuan!	help! (save my life)		scenario::Darurat_&_Survival register::casual
不好意思，我需要幫助	bù hǎo yìsi, wǒ xūyào bāngzhù	permisi, saya butuh bantuan	excuse me, I need help		scenario::Darurat_&_Survival register::casual
警察	jǐngchá	polisi	police		scenario::Darurat_&_Survival register::casual
救護車	jiùhù chē	ambulans	ambulance		scenario::Darurat_&_Survival register::casual
消防車	xiāofáng chē	mobil pemadam	fire truck		scenario::Darurat_&_Survival register::casual
叫警察	jiào jǐngchá	panggil polisi	call the police		scenario::Darurat_&_Survival register::casual
打119	dǎ yāo yāo jiǔ	telepon 119 (ambulans/pemadam)	call 119 (ambulance/fire)	119 is for ambulance and fire in Taiwan. 110 is police.	scenario::Darurat_&_Survival register::casual taiwan
打110	dǎ yāo yāo líng	telepon 110 (polisi)	call 110 (police)	110 is the police emergency number in Taiwan	scenario::Darurat_&_Survival register::casual taiwan
有人受傷	yǒu rén shòushāng	ada orang yang terluka	someone is injured		scenario::Darurat_&_Survival register::casual
快來！	kuài lái!	cepat datang!	come quickly!		scenario::Darurat_&_Survival register::casual
我迷路了	wǒ mílù le	saya tersesat	I am lost		scenario::Darurat_&_Survival register::casual
我的手機不見了	wǒ de shǒujī bú jiàn le	HP saya hilang	my phone is missing		scenario::Darurat_&_Survival register::casual
錢包不見了	qiánbāo bú jiàn le	dompet saya hilang	my wallet is missing		scenario::Darurat_&_Survival register::casual
護照	hùzhào	paspor	passport		scenario::Darurat_&_Survival register::casual
我的護照不見了	wǒ de hùzhào bú jiàn le	paspor saya hilang	my passport is lost		scenario::Darurat_&_Survival register::casual
被偷了	bèi tōu le	dicuri	was stolen		scenario::Darurat_&_Survival register::casual
發生事故	fāshēng shìgù	terjadi kecelakaan	an accident occurred		scenario::Darurat_&_Survival register::casual
我不知道地址	wǒ bù zhīdào dìzhǐ	saya tidak tahu alamatnya	I don\		scenario::Darurat_&_Survival register::casual
台灣的緊急電話	Táiwān de jǐnjí diànhuà	nomor darurat Taiwan	Taiwan emergency numbers	110=Police, 119=Ambulance/Fire, 1999=Non-emergency city hotline	scenario::Darurat_&_Survival register::formal taiwan
有沒有人說英文？	yǒu méiyǒu rén shuō Yīngwén?	ada yang bisa bahasa Inggris?	does anyone speak English?		scenario::Darurat_&_Survival register::casual
我需要翻譯	wǒ xūyào fānyì	saya butuh penerjemah	I need a translator		scenario::Darurat_&_Survival register::casual
請幫我打電話給⋯⋯	qǐng bāng wǒ dǎ diànhuà gěi...	tolong bantu saya telepon ...	please help me call ...		scenario::Darurat_&_Survival register::casual
我在哪裡？	wǒ zài nǎlǐ?	saya ada di mana?	where am I?		scenario::Darurat_&_Survival register::casual
最近的	zuì jìn de	yang paling dekat	the nearest		scenario::Tanya_Lokasi register::casual
附近有沒有⋯⋯？	fùjìn yǒu méiyǒu...?	di dekat sini ada ... tidak?	is there a ... nearby?		scenario::Tanya_Lokasi register::casual
最近的全家在哪裡？	zuì jìn de Quánjiā zài nǎlǐ?	FamilyMart terdekat ada di mana?	where is the nearest FamilyMart?		scenario::Tanya_Lokasi register::casual
最近的超商在哪裡？	zuì jìn de chāoshāng zài nǎlǐ?	minimarket terdekat di mana?	where is the nearest convenience store?		scenario::Tanya_Lokasi register::casual
最近的提款機在哪裡？	zuì jìn de tíkuǎnjī zài nǎlǐ?	ATM terdekat di mana?	where is the nearest ATM?		scenario::Tanya_Lokasi register::casual
最近的捷運站在哪裡？	zuì jìn de jiéyùn zhàn zài nǎlǐ?	stasiun MRT terdekat di mana?	where is the nearest MRT station?		scenario::Tanya_Lokasi register::casual
最近的藥局在哪裡？	zuì jìn de yàojú zài nǎlǐ?	apotek terdekat di mana?	where is the nearest pharmacy?		scenario::Tanya_Lokasi register::casual
最近的廁所在哪裡？	zuì jìn de cèsuǒ zài nǎlǐ?	toilet terdekat di mana?	where is the nearest toilet?		scenario::Tanya_Lokasi register::casual
最近的停車場在哪裡？	zuì jìn de tíngchēchǎng zài nǎlǐ?	parkir terdekat di mana?	where is the nearest parking?		scenario::Tanya_Lokasi register::casual
這附近有餐廳嗎？	zhè fùjìn yǒu cāntīng ma?	di sekitar sini ada restoran?	is there a restaurant around here?		scenario::Tanya_Lokasi register::casual
這附近有咖啡廳嗎？	zhè fùjìn yǒu kāfēitīng ma?	di sekitar sini ada kafe?	is there a café around here?		scenario::Tanya_Lokasi register::casual
就在前面	jiù zài qiánmiàn	tepat di depan	right ahead		scenario::Tanya_Lokasi register::casual
就在旁邊	jiù zài pángbiān	tepat di sebelah	right next to it		scenario::Tanya_Lokasi register::casual
就在對面	jiù zài duìmiàn	tepat di seberang	right across		scenario::Tanya_Lokasi register::casual
在⋯⋯旁邊	zài ... pángbiān	di sebelah ...	next to ...		scenario::Tanya_Lokasi register::casual
在⋯⋯對面	zài ... duìmiàn	di seberang ...	across from ...		scenario::Tanya_Lokasi register::casual
在⋯⋯樓上	zài ... lóu shàng	di lantai atas ...	upstairs / on floor ...		scenario::Tanya_Lokasi register::casual
在⋯⋯樓下	zài ... lóu xià	di lantai bawah	downstairs		scenario::Tanya_Lokasi register::casual
走路大概⋯⋯分鐘	zǒulù dàgài ... fēnzhōng	jalan kaki kira-kira ... menit	about ... minutes walk		scenario::Tanya_Lokasi register::casual
很近，走路就到了	hěn jìn, zǒulù jiù dào le	sangat dekat, jalan kaki saja sudah sampai	very close, just walk there		scenario::Tanya_Lokasi register::casual
有點遠，你最好搭車	yǒudiǎn yuǎn, nǐ zuìhǎo dāchē	agak jauh, sebaiknya naik kendaraan	a bit far, better take transport		scenario::Tanya_Lokasi register::casual
我不太清楚	wǒ bú tài qīngchǔ	saya kurang tahu	I\		scenario::Tanya_Lokasi register::casual
你可以用Google地圖找	nǐ kěyǐ yòng Google Dìtú zhǎo	kamu bisa cari pakai Google Maps	you can search on Google Maps	Very common answer — Google Maps works great in Taiwan	scenario::Tanya_Lokasi register::casual taiwan
路口	lùkǒu	persimpangan jalan	intersection		scenario::Tanya_Lokasi register::casual
巷子	xiàngzi	gang / lorong	alley / lane	Taiwan addresses include 巷 (lane) and 弄 (alley) numbers	scenario::Tanya_Lokasi register::casual taiwan
巷	xiàng	gang (dalam alamat)	lane (in address)		scenario::Tanya_Lokasi register::casual
弄	nòng	gang kecil (dalam alamat)	alley (in address)		scenario::Tanya_Lokasi register::casual
號	hào	nomor (dalam alamat)	number (in address)		scenario::Tanya_Lokasi register::casual
樓	lóu	lantai	floor / storey		scenario::Tanya_Lokasi register::casual
一樓	yī lóu	lantai 1 (lantai dasar)	ground floor	Taiwan uses 1F for ground floor, same as US system	scenario::Tanya_Lokasi register::casual taiwan
地下室	dìxiàshì	basement	basement		scenario::Tanya_Lokasi register::casual
電梯	diàntī	lift / elevator	elevator		scenario::Tanya_Lokasi register::casual
樓梯	lóutī	tangga	stairs		scenario::Tanya_Lokasi register::casual
地址	dìzhǐ	alamat	address		scenario::Tanya_Lokasi register::casual
請問這個地址怎麼走？	qǐng wèn zhège dìzhǐ zěnme zǒu?	permisi, cara ke alamat ini bagaimana?	excuse me, how do I get to this address?		scenario::Tanya_Lokasi register::casual
你可以帶我去嗎？	nǐ kěyǐ dài wǒ qù ma?	bisakah kamu antar saya ke sana?	can you take me there?		scenario::Tanya_Lokasi register::casual
多少錢？	duōshǎo qián?	berapa harganya?	how much?		scenario::Tawar_Menawar register::casual
太貴了	tài guì le	terlalu mahal	too expensive		scenario::Tawar_Menawar register::casual
可以便宜一點嗎？	kěyǐ piányí yīdiǎn ma?	bisa lebih murah sedikit?	can you make it cheaper?		scenario::Tawar_Menawar register::casual
算我便宜一點	suàn wǒ piányí yīdiǎn	hitung lebih murah buat saya	give me a better price		scenario::Tawar_Menawar register::casual
打折嗎？	dǎzhé ma?	ada diskon?	any discount?		scenario::Tawar_Menawar register::casual
最低多少？	zuì dī duōshǎo?	paling murah berapa?	what\		scenario::Tawar_Menawar register::casual
⋯⋯元可以嗎？	... yuán kěyǐ ma?	... dolar boleh?	can you do ... dollars?		scenario::Tawar_Menawar register::casual
我出⋯⋯元	wǒ chū ... yuán	saya tawar ... dolar	I\		scenario::Tawar_Menawar register::casual
這個價錢我不能再低了	zhège jiàqián wǒ bù néng zài dī le	harga ini sudah tidak bisa lebih murah lagi	this is the lowest I can go		scenario::Tawar_Menawar register::casual
好，成交！	hǎo, chéngjīao!	oke, deal!	okay, deal!		scenario::Tawar_Menawar register::casual
算了，不買了	suànle, bù mǎi le	sudahlah, tidak jadi beli	forget it, I won\	Pretending to walk away is a classic bargaining move at markets	scenario::Tawar_Menawar register::casual taiwan
我再想想	wǒ zài xiǎngxiǎng	saya pikir-pikir dulu	let me think about it		scenario::Tawar_Menawar register::casual
我去別家看看	wǒ qù bié jiā kànkàn	saya lihat-lihat ke toko lain dulu	I\		scenario::Tawar_Menawar register::casual
定價	dìngjià	harga tetap / harga pasaran	fixed price / list price		scenario::Tawar_Menawar register::casual
開價	kāijià	harga awal (sebelum tawar)	asking price		scenario::Tawar_Menawar register::casual
殺價	shājià	tawar harga / negosiasi harga	to bargain / haggle	殺價 is normal at night markets and traditional markets, not at chain stores	scenario::Tawar_Menawar register::casual taiwan
不二價	bù èr jià	harga mati / tidak bisa ditawar	fixed price, no bargaining	Signs saying 不二價 mean the price is final — don\	scenario::Tawar_Menawar register::casual taiwan
有標價嗎？	yǒu biāojià ma?	ada label harganya?	is there a price tag?		scenario::Tawar_Menawar register::casual
含稅嗎？	hán shuì ma?	sudah termasuk pajak?	does that include tax?		scenario::Tawar_Menawar register::casual
整數	zhěngshù	angka bulat	round number		scenario::Tawar_Menawar register::casual
算整數	suàn zhěngshù	dibulatkan saja	just round it up/down	e.g. 195元 → 算整數 → 200元 or 190元	scenario::Tawar_Menawar register::casual taiwan
買多一點可以打折嗎？	mǎi duō yīdiǎn kěyǐ dǎzhé ma?	kalau beli lebih banyak bisa diskon?	discount if I buy more?		scenario::Tawar_Menawar register::casual
買兩個算多少？	mǎi liǎng gè suàn duōshǎo?	kalau beli dua harganya berapa?	how much for two?		scenario::Tawar_Menawar register::casual
買三送一	mǎi sān sòng yī	beli tiga gratis satu	buy 3 get 1 free		scenario::Tawar_Menawar register::casual
一起算	yīqǐ suàn	dihitung sekaligus / bundle	count it all together		scenario::Tawar_Menawar register::casual
有沒有瑕疵？	yǒu méiyǒu xiácī?	ada cacat / rusak tidak?	any defects?		scenario::Tawar_Menawar register::casual
這個有一點壞掉	zhège yǒu yīdiǎn huài diào	yang ini ada sedikit cacat	this one is slightly damaged		scenario::Tawar_Menawar register::casual
因為有瑕疵，可以再便宜嗎？	yīnwèi yǒu xiácī, kěyǐ zài piányí ma?	karena ada cacat, bisa lebih murah lagi?	because of the defect, can you lower the price?		scenario::Tawar_Menawar register::casual
有沒有新的？	yǒu méiyǒu xīn de?	ada yang baru?	do you have a new one?		scenario::Tawar_Menawar register::casual
這是最後一個了	zhè shì zuìhòu yī gè le	ini yang terakhir	this is the last one		scenario::Tawar_Menawar register::casual
夜市	yèshì	pasar malam (boleh tawar)	night market (bargaining OK)	Bargaining is common and expected at night markets	scenario::Tawar_Menawar register::casual taiwan
傳統市場	chuántǒng shìchǎng	pasar tradisional	traditional market	Wet markets / morning markets — bargaining is acceptable	scenario::Tawar_Menawar register::casual taiwan
連鎖店	liánsuǒ diàn	toko jaringan / chain store	chain store	Chain stores like 全聯, 7-11 have fixed prices — no bargaining	scenario::Tawar_Menawar register::casual taiwan
